questionAnswer,questionContent
1,发生实验室安全事故后，学校须依法依规开展事故调查，严肃追究责任单位及责任人的事故责任。
1,学校党政主要负责人是实验室安全第一责任人；分管实验室工作的校领导是重要领导责任人，协助第一责任人负责实验室安全工作。
2,明确牵头职能部门负责实验室安全工作，相关职能部门可以适当配合落实工作。
1,学校须设立校级实验室安全工作领导机构，并明确人员和分工。
2,学校与院系签订实验室安全责任书，应有主管实验室安全的职能部门负责人与院系第一责任人共同签字，并加盖学校公章和院系公章。
2,学校应明确实验室安全主管职能部门和二级教学科研单位实验室安全管理的职责，不需要明确其他部门的实验室安全管理的职责。
2,某高校的医学院发文由主管实验室工作的副院长作为本单位实验室安全工作的主要责任人。
2,有重要危险源的院系应依据工作量配备专职实验室安全管理人员；文、管、艺术类、数学及信息相关工学等院系不需配备实验室安全管理人员。
2,学校无须建立健全全员实验室安全责任制，配备足额的专职安全人员。
1,学校须与各二级教学科研单位签订实验室安全责任书。
1,实验室安全责任书要签订到实验房间安全责任人及每一位使用实验室的教师。
1,建立实验室安全工作档案，档案分类规范合理，便于查找。
2,学校无须依托现代技术手段加强信息化建设，构建实验室安全全周期管理工作机制。
1,二级教学科研单位应明确分管实验室安全的班子成员和各实验室安全管理人员。
2,实验室安全是学校实验室工作者、实验教师、实验学生的事，与学校的其他人员无关。
1,二级教学科研单位须与所属各实验室负责人签订安全责任书。
1,学校应对在实验室安全工作中成绩突出的单位和个人给予表彰和奖励。
1,学校须每年做好实验室安全常规经费预算，保障安全工作正常运行。
1,学校校应对履职尽责不到位的个人和所在单位，应予以批评和惩处，情节严重的追究其法律责任。
2,实验室安全责任人造成重大事故，责任人不会受到行政、经济、甚至刑事处罚。
B,在实验室中，应该放在第一位的是：
B,实验室安全责任体系由（    ）组成。
D,高校实验室实验室安全工作应坚持（    ）的方针。
B,实验室安全工作的主体责任单位是：
A,实验室安全工作的第一责任人是：
C,实验室安全工作的直接责任人是：
D,2019年5月22日，教育部发布《关于加强高校实验室安全工作的意见》，以下哪一项不属于文件主要内容？
B,以下哪个是实验室安全管理职能部门？
D,2021年12月8日，教育部发布《关于开展加强高校实验室安全专项行动的通知》，以下说法正确的是：
A,关于对实验室安全管理职能部门的要求，叙述错误的是：
C,关于实验室安全经费保障，叙述错误的是：
C,下列哪个是实验用房的直接责任人，须负责实验用房的日常安全管理工作？
C,下列关于实验室安全工作责任人说法错误的是：
B,院系要确定本单位实验室安全工作具体负责人，与所辖各实验室逐级签订（    ）切实将实验室安全责任落实到位，落实到人。
D,诱发安全事故的原因是：
B,高校实验室是指，隶属于高校从事：
B,《高等学校实验室安全规范》在校级安全责任体系方面要求学校实验室安全管理工作坚持“（    ）”原则。
B,你是如何正确看待实验室安全事故的？
D,构建实验室安全，应从硬件和软件两方面着手进行，下面属于软件的是：
D,下列哪项不是《高等学校实验室安全规范》要求的主要内容？
A,每个实验室都有可能发生的事故是：
D,实验室安全的重要意义包括：
"A,B,C,D",需要签订实验室安全责任书的人员是：
"C,D",关于院系层面的实验室安全责任体系，叙述错误的是：
"A,B,C,D",建立实验室安全责任体系，应包括：
"A,B,C,D",成立校级实验室安全检查队伍人员，可以选聘以下人员：
"A,B,C,D",实验责任人须负责实验用房的日常安全管理工作，包括：
"A,B,C,D",以下诱发安全责任事故的原因的是：
"A,B,C,D",下列说法正确的是：
1,"有院系特色的实验室安全管理制度，应有院系正式发文，并及时修订更新，文件应具有可操作性或实际管理效用。
"
1,应对重要危险源进行采购、 运输、储存、使用、处置等全流程全周期管理。
1,安全应急制度要求学校、院系和实验室定期开展应急知识学习、应急处置培训和应急演练。
1,重要危险源的采购和运输应选择具备相应资质的单位和渠道，储存要有专门储存场所并严格控制数量。
2,学校制定了校级实验室安全管理规定，无需发文即可执行。
1,安全应急制度要求学校、二级教学科研单位和实验室须保障应急人员、物资、装备和经费，以确保安全应急工作的有效进行。
1,应对危险源进行风险评估，建立重大危险源安全风险分布档案和数据库。
1,学校或职能部门依据危险源情况制定实验室分级分类、准入管理、安全检查、奖惩，以及各类专业安全等二级管理办法，并正式发文。
1,应对危险源制定危险源分级分类处置方案。
1,安全应急制度要求学校、二级教学科研单位和实验室应定期检查实验防护用品与装备、应急物资的有效性。
2,院系制定安全检查制度，由实验室自行安全检查，院系领导不参与。
1,安全应急制度要求学校、院系和实验室应建立应急预案和应急演练制度。
1,实验室安全事故上报制度要求出现实验室安全事故后， 学校应立即启动应急预案，采取措施控制事态发展。
2,二级教学科研单位无须建立应急预案，定期进行培训和实施演练。
C,实验室安全事故应急处置方案由（    ）发文号。
C,全校实验室安全管理的纲领性文件是由（    ）制定。
B,院系制定实验室安全管理制度应考虑：
D,学校实施实验室安全管理行为的依据：
A,实验室安全事故应急处置预案应覆盖：
A,实验室各种管理规章制度应该：
"A,B,C,D",校级实验室安全管理制度的内容应体现：
"A,B,C,D",校级实验室管理办法或细则一般包括：
"A,B,C,D",院系建立的实验室安全管理制度应包含：
"A,C",院系制定的应急预案，应配备相应的：
"A,B,C,D",下列需要有相应应急预案的是：
1,对于有重要危险源，如有毒有害化学品、危险气体、动物及病原微生物等的相关院系和专业，要开设实验室安全课程。
1,各院系应建立实验室安全准入制度，结合专业和学科特点开展安全培训活动。
1,学校须建立健全实验室安全教育培训与准入体系。
1,实验室负责人或指导教师必须对学生进行遵守实验室规章制度的教育。
2,学校制定了年度安全教育培训计划，但未开展任何相关培训。
2,学校仅开展消防演练和应急救援等应急演练，未开展其他专项演练。
1,二级教学科研单位须结合自身实际情况和学科专业特点，有针对性的建立实验室安全教育培训与准入制度。
1,学校制订年度应急演练计划，每年应进行1次以上的校级实战应急演练。
2,学校仅开展新教职工入职培训和新生入学教育，未开展实验室安全考试。
1,学校须每年开展面向全校教职工和学生的安全教育培训活动，并存档记录。
2,从事实验工作的学生、教职工及外来人员应参加实验室安全学习考试，达60分即为及格。
1,学校应编印适合本校特点的《实验室安全手册》，仅发放给在校从事实验活动的师生。
2,学校和二级教学科研单位须根据实验需要，开展专业安全培训活动，但无须对培训进行有效记录。
2,实验室安全题库适用于所有专业和人群，无需符合学校实际情况。
1,教师应学习研究有关实验室安全的知识，在理论和实验教学过程中，应对学生进行安全知识教育，使学生掌握安全操作规程，实验室安全知识和技术
1,项目负责人（含教学课程任课教师）应针对本项目特点制定具体的安全管理措施和安全教育方案。
2,对于无危险源、安全隐患较小的院系无需进行实验室安全培训。
1,通过实验室安全教育，提高实验人员的安全意识和素养，可以减少实验室安全事故的发生。
1,项目负责人（含教学课程任课教师）对参与本项目的学生和工作人员等进行全员安全培训，依法履行安全告知义务。
C,对于有重要危险源的院系和专业：
A,校级实战应急演练每年应不少于：
D,实验室安全学习考试合格线为：
C,关于实验室安全教育活动说法错误的是：
D,下列不属于实验室安全文化建设的是：
"A,B,C,D",实验室安全课程的教学内容应包括：
"A,B",学校实验室安全教育培训重点人群包括：
"A,B,C,D",某专业实验室涉及以下哪些危险源，需开设实验室安全课程？
"A,B,D",关于安全文化说法正确的是：
"A,B,C",学校应开展哪些应急演练：
2,实验人员进行安全培训即能进入实验室，无需获得准入资格。
2,学校实行实验室安全准入制度，保证进入实验室学习和工作的大部分人员经过安全培训并通过考核。
1,实验人员应严格遵守实验室各项规章制度，熟悉操作规程。
1,存在重大安全隐患的项目开展实验活动前，必须切实落实安全保障。
1,项目负责人（含教学课程任课教师）是项目安全的第一责任人，须对项目进行危险源辨识和风险评估。
1,涉及危险源的实验室开展实验前均需进行安全风险评估。
1,进入实验室学习或工作的所有人员均应遵守实验室安全准入制度和安全管理制度，取得准入资格后，再严格按照实验操作规程或实验指导书开展实验。
A,实验室开展危险性实验前应进行：
C,实验人员进入实验室前须：
D,开展实验前，以下不需要进行风险评估的是：
D,实验室安全准入培训和考核包括的内容有：
C,对存在重大安全隐患的项目，以下处理错误的是：
D,根据教育部《高等学校实验室安全规范》有关要求，实验室工程项目，在（    ）时，应当依法依规进行，并通过学校实验室安全职能部门组织的审核后，方可实施。
C,如你课题组需要开展某新型病毒的相关研究，制定对实验研究风险评估的时间是：
D,实验项目安全风险评价不包括：
B,实验项目安全风险评估由（    ）负责。
"A,B,C,D",实验项目安全风险评估的内容主要包括：
"A,B,C,D",以下属于重要危险源实验室的有：
1,学校、院系对涉及危险化学品、病原微生物、放射性同位素、强磁等高危场所须有显著、明确的警示标识。
1,整改通知书应包含检查时间、被检查的实验室、问题描述、整改要求及完成时间、职能部门盖章等内容。
2,院系对发现的安全隐患要进行限期整改，相关实验室或个人已整改到位的不必撰写整改报告。
1,院系应每年有计划地针对高危实验物品（包括剧毒品、病原微生物、放射源等）进行专项检查。
1,安全检查人员在执行实验室安全检查时应佩戴 “安全检查人员标识”，如红袖章、胸卡等。
1,如实验室存在重大安全隐患，实验人员应当立即报告给实验室负责人，立即停止实验活动，以防止发生安全事故。
2,安全检查人员因检查需要有时可以不遵守实验室相关防护规定。
2,学校要建立实验室安全检查通报制度，定期/不定期地编制实验室安全检查通报，每年不少于2次。
2,对检查中发现的问题应口头通知被检查实验室和相关负责人及时整改，并规范存档。
1,实验室安全检查记录应完整、规范，有检查现场照片，有安全检查人员签字，院系对实验室安全检查记录要妥善存档。
D,学校层面组织的实验室安全检查每年应不少：
C,学校或职能部门进行实验室分级分类的依据：
D,对实验室安全检查的重点是：	
A,院系应建立实验室安全月检查制度，检查频次每月应不少于：
A,实验室的安全等级根据什么进行判定：
D,下列不属于实验室危险源的是：
C,下列不属于实验安全检查人员应配备专业的防护和计量用具的是：
A,实验室安全检查频次和要求应根据（    ）来确定。
"A,B,C,D",危险源警示标识主要包括：
"A,B,C",下列哪项是高危险物品开展的专项检查：
"A,B,C,D",实验室安全检查主要有：
"A,B,C,D",在实验室安全检查过程中，可能造成安全隐患的因素主要有：
"B,C,D",实验室安全检查通报的发布形式主要有以下几种：
2,实验场所房间应张贴有安全信息牌，但不必覆盖所有实验室。
